21445,2331,0,60
21080,2258,0,57
20613,2254,0,58
20521,2249,0,56
20365,2255,0,55
20261,2261,0,53
19953,2267,0,52
20118,2272,0,59
19828,2258,0,66
19780,2243,0,86
19940,2262,0,103
20640,2281,0,118
23160,2311,0,119
25449,2340,0,116
27848,2357,1,119
28798,2373,72,123
30108,2418,264,121
30411,2463,571,118
30943,2556,887,115
30880,2648,1256,108
30824,2753,1621,106
31045,2857,1803,100
30701,2938,2282,102
30557,3019,2497,101
30734,3069,2465,99
30905,3119,2183,97
30592,3162,2165,98
30134,3205,2129,101
29702,3223,2083,99
29446,3241,1902,105
29453,3258,1751,109
30002,3275,1496,116
30767,3189,1199,118
31531,3103,804,125
32434,3034,508,130
32902,2965,218,129
33146,2925,60,127
33416,2885,0,126
33485,2862,0,120
32959,2838,0,109
31664,2768,0,95
30736,2697,0,74
28952,2649,0,68
27440,2601,0,58
25549,2529,0,52
24224,2457,0,54
22503,2388,0,52
21614,2319,0,52
21113,2306,0,54
20725,2293,0,55
20677,2239,0,56
20489,2184,0,56
20234,2134,0,57
19942,2083,0,59
19414,2049,0,62
19273,2015,0,72
19162,1986,0,89
19281,1956,0,110
19416,1942,0,127
20658,1927,0,132
23008,1936,0,135
25399,1944,0,133
27619,1989,1,135
28917,2034,89,132
29984,2084,402,128
30630,2133,979,125
30866,2266,1301,120
30586,2399,1607,121
30556,2520,2318,118
30386,2640,2549,117
29905,2690,2833,116
29684,2739,3371,118
29619,2704,3827,117
29276,2669,3747,118
28717,2622,4075,121
28073,2574,4036,127
27312,2495,3827,139
27493,2415,3707,145
27490,2341,3397,156
28390,2266,2999,162
29327,2091,2578,164
30066,1916,1755,171
31533,1770,1182,174
32599,1623,536,171
33074,1586,102,173
33609,1549,0,169
34481,1558,0,164
34048,1567,0,153
32909,1549,0,144
31664,1530,0,127
30247,1501,0,119
28440,1471,0,104
26766,1420,0,102
25352,1369,0,106
23991,1312,0,109
22873,1255,0,121
22122,1183,0,125
21801,1111,0,123
21594,1062,0,124
21557,1013,0,122
21119,973,0,122
20951,932,0,134
20790,894,0,126
20602,856,0,126
20496,852,0,146
20515,847,0,170
20919,849,0,189
22045,851,0,200
24276,861,0,204
26620,871,0,209
29240,847,4,203
30527,823,280,194
30968,815,1149,183
30667,807,2410,169
30471,817,3664,159
29526,826,4890,148
28215,943,5957,142
27068,1060,7052,140
26146,1115,7581,143
25627,1170,7422,143
25713,1170,7299,147
25882,1170,7442,151
25777,1146,7066,155
25784,1122,6542,160
25723,1111,6068,171
25791,1099,5710,181
26240,1083,4831,190
27025,1066,4217,201
28255,981,3570,208
29822,895,2764,212
31586,868,1789,219
32759,840,823,219
33356,896,127,220
34020,952,0,214
34382,1011,0,206
33891,1069,0,193
33124,1123,0,180
32019,1176,0,158
30717,1236,0,140
29276,1295,0,123
27394,1328,0,106
25783,1360,0,100
24255,1381,0,101
23124,1402,0,98
22487,1408,0,100
22051,1413,0,101
21556,1424,0,98
21639,1434,0,96
21577,1440,0,98
21150,1445,0,106
20859,1450,0,107
20785,1455,0,125
20341,1480,0,136
20295,1504,0,164
20719,1515,0,174
21753,1525,0,175
24203,1538,0,177
26142,1550,0,178
28232,1547,3,177
29612,1543,309,169
30935,1578,1318,151
30392,1612,2676,133
30483,1676,3835,123
29437,1739,5040,111
28016,1874,6229,101
27327,2008,6908,102
26337,2151,7523,104
25664,2293,7848,101
25419,2394,7936,101
25766,2494,7518,104
25368,2508,7116,108
25007,2522,6723,109
24954,2490,6051,117
24676,2458,5546,127
24740,2398,4650,143
25910,2337,3849,154
27328,2211,2911,161
28895,2084,1953,161
30071,2062,1100,163
31105,2039,522,164
31779,2050,97,161
32314,2060,0,152
32606,2092,0,143
31962,2124,0,142
30836,2144,0,131
29678,2164,0,117
